case,U,a,p0,x0
00,5,10000,2000,0
01,15,10000,2000,0
02,25,10000,2000,0
03,35,10000,2000,0
04,45,10000,2000,0
05,55,10000,2000,0
06,5,20000,2000,0
07,15,20000,2000,0
08,25,20000,2000,0
09,35,20000,2000,0
10,45,20000,2000,0
11,55,20000,2000,0
12,5,30000,2000,0
13,15,30000,2000,0
14,25,30000,2000,0
15,35,30000,2000,0
16,45,30000,2000,0
17,55,30000,2000,0
18,5,10000,2000,50000
19,15,10000,2000,50000
20,25,10000,2000,50000
21,35,10000,2000,50000
22,45,10000,2000,50000
23,55,10000,2000,50000
24,5,20000,2000,50000
25,15,20000,2000,50000
26,25,20000,2000,50000
27,35,20000,2000,50000
28,45,20000,2000,50000
29,55,20000,2000,50000
30,5,30000,2000,50000
31,15,30000,2000,50000
32,25,30000,2000,50000
33,35,30000,2000,50000
34,45,30000,2000,50000
35,55,30000,2000,50000
